KEGG_ID	SMILES
C06570	CN(C)C(=O)NC1=CC=C(C=C1)Cl.C(=O)(C(Cl)(Cl)Cl)O
C01468	CC[N+](CC)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
C00250	CCOC(=O)C1=C(OC2=C(C1C(C#N)C(=O)OCC)C=C(C=C2)Br)N
C00185	C(CC=O)CC=O
C00008	CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
C00149	CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O
C00086	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
C00329	CN1C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O
C00661	CCCCCC=CCC=CCCCCCCCC(=O)N
C00118	C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O
C00469	C1=CC(=C(C=C1Cl)C2=NC(=NC(=N2)N)N)Cl
C00864	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
C04494	C1=CC(=CC=C1C2=CC=C(C=C2)N)N
C11481	C1=CC=C(C=C1)C2=CC=NC=C2
C01733	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)C(C(=O)O)NC(=O)C(C(C(COC(=O)N)O)O)N)O)O)C(=O)O
C00073	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
C04677	C1=CC(=C(C=C1O)Cl)Cl
C00214	C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N
C00153	CCCCCC=CCC=CCC=CCCCCC(=O)O
C00033	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O
C00048	CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C
C00238	CC(C)(C)C1=CC=C(C=C1)SC2=CC=CC3=C2C(=NC(=N3)N)N
C03657	C1(=O)C(C(=O)NC(=O)N1)(C2(C(=O)NC(=O)NC2=O)O)O
C00469	C1=CC(=C(C=C1Cl)C2=NC(=NC(=N2)N)N)Cl
C00148	C1CNCC2=C1C(=O)NO2
C16435	CCCC(=O)NCC(=O)NC1=CC=C(C=C1)OCC#N
C00245	C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCN
C02191	CCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OCC[N+](C)(C)C)C(C=CCCCCCCCCCCCCC)O
C00257	CC(CCC(C)C(C)(C)C)C1CCC2C1(CCC3C2CC(C4C3(CC(C(C4)OS(=O)(=O)[O-])OS(=O)(=O)[O-])C)OS(=O)(=O)[O-])C
C00242	C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br
C00052	CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
C00014	CCCCCCOC1=CC=CC=C1C(=O)N
C01342	CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
C00655	CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C
C00534	CC(=C)C1CNC(C1CC(=O)O)C(=O)O
C11481	C1=CC=C(C=C1)C2=CC=NC=C2
C01131	CCN1C(=O)C=CC1=O
C00352	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COP(=O)(O)O)O)C)O
C00475	CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2
C00253	C1=CC(=CC=C1C(=O)O)S(=O)(=O)N(Cl)Cl
C00178	CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
C00880	CNC(=O)OCC[N+](C)(C)C
C00984	C1=CC(=CC=C1C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=C(C=C7)C(=O)O)C8=CC=C(C=C8)C(=O)O)C=C4)C9=CC=C(C=C9)C(=O)O)[N-]3)C(=O)O.[Mn+3]
C00124	CC1=C(NC(=C1C(=O)C2=CC=CC=C2CC3=CC=CC=C3)C)C
C01013	CC1=C(N2C(C(C2=O)(NC(=O)C(C3=CC=C(C=C3)O)C(=O)O)OC)OC1)C(=O)O
C00270	COCC1=CC(=C(C(=C1C2=C(C(=C(C=C2COC)O)O)O)O)O)O
C00184	C(CC(=O)NO)C(C(=O)O)N
C00009	CCSC(=NC1=CC=C(C=C1)C(F)(F)F)N
C00645	CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O
